X,Y,In
1.138995632,1.235403485,1
0.682515276,0.863442875,1
1.503547858,0.72748958,1
0.123933077,0.789908746,1
0.903184464,1.734302553,1
0.375992706,1.716181091,1
1.515324814,0.307853156,1
0.132418555,1.212235289,1
0.659315991,0.425830505,1
0.992253359,0.710405268,1
0.826357671,1.599286601,1
0.992112415,1.132213286,1
1.903194802,1.86630092,0
0.111357315,1.818333418,0
1.408468253,1.351024959,1
0.670721168,1.252467245,1
0.626840509,0.474228487,1
1.587809848,0.855453618,1
1.528191221,0.809121073,1
0.572922324,1.914031818,0
0.996761587,0.688116869,1
1.86709275,1.849115958,0
1.388567639,0.502154104,1
0.781150958,0.132526442,1
1.926237303,0.521907856,0
0.642781101,1.546631511,1
0.375916359,0.125830898,0
0.982602005,1.032636897,1
0.333618295,1.275150853,1
1.747214355,0.378873941,1
1.775229701,0.94132911,1
0.743499136,1.541413536,1
0.149905889,0.938972472,1
1.417476397,1.400551122,1
1.587455382,0.482626812,1
0.612503738,1.386032602,1
0.518001451,1.013002975,1
1.891627055,1.652122511,0
0.254235295,0.570711129,1
1.871821941,0.070248578,0
0.378255834,1.310619033,1
0.360727614,0.80354571,1
1.616168868,0.963776346,1
1.160204619,1.6960308,1
0.554103251,0.660152943,1
1.371238071,0.921171211,1
1.15972449,0.415244175,1
1.785051649,0.71072301,1
1.259293814,0.5126232,1
1.149819678,1.298418144,1
0.942329335,0.655762315,1
1.908702728,0.910412157,1
1.311489886,1.606191022,1
0.604130751,1.201617486,1
1.385826614,1.396820839,1
0.697596974,1.8614981,1
0.908029664,0.631053128,1
0.785440325,0.582645449,1
1.726645382,0.434098685,1
1.018563995,0.335431281,1
1.725398375,1.218227065,1
0.602019872,0.73978185,1
1.656710793,1.883275113,0
1.828490782,1.776960533,0
1.537337462,1.59044318,1
0.281720126,0.711684294,1
1.000825727,1.147879164,1
0.56295443,1.11751401,1
0.284658525,0.036832113,0
0.737562944,1.241313808,1
1.270020669,0.297908461,1
1.883659189,0.96891204,1
0.088992185,1.765659168,0
1.402928387,1.951652962,0
1.476474307,1.332533832,1
1.398995735,0.332873275,1
0.403772171,0.020611311,0
0.32592198,1.784853935,0
0.367873107,0.796312524,1
1.319076782,0.429991952,1
0.677014407,1.883211497,1
0.716884754,0.275566452,1
0.426344872,0.172082754,0
1.506425333,0.222252459,1
1.536051296,0.252704101,1
0.169674927,1.860741779,0
1.784487073,0.822821475,1
1.264973102,0.894598794,1
1.693503345,0.826507009,1
0.338836626,0.4736888,1
0.510328461,1.455445487,1
1.020425685,1.434650174,1
0.858602151,1.490086701,1
1.679204119,0.117010777,0
0.471116402,0.226846217,1
1.753724621,0.309440315,0
0.125425024,1.446135997,1
0.995008559,0.432660796,1
1.607905854,1.069914956,1
1.298790781,0.472966471,1
0.153638079,1.24370618,1
0.352943194,0.464397025,1
1.27272246,1.866507708,1
0.416075018,0.540795068,1
1.900272135,1.113032918,1
1.557484428,1.261545588,1
0.894436986,0.713653929,1
1.634888371,0.751315173,1
1.132876834,0.030182601,1
1.518136402,1.266965512,1
1.511264944,0.636546855,1
1.330896777,1.711425307,1
0.769124039,0.69258602,1
0.630578723,1.108065333,1
0.452056072,1.708939392,1
1.143756731,1.214309713,1
0.986679659,0.297002752,1
1.688162935,1.620602705,1
1.07550592,1.392664133,1
1.024581681,1.716930859,1
1.498499233,0.074009844,0
1.205467703,1.219174041,1
0.736469585,0.036440567,1
1.47968467,0.802738348,1
1.004154018,1.270323327,1
1.702858894,0.232598388,0
1.06588276,1.89668025,1
0.680457597,0.476238577,1
1.634888334,0.169401868,0
1.73709688,0.469488888,1
1.49533681,0.4746771,1
0.181920216,0.16721677,0
1.564986661,1.049163793,1
0.393690246,0.358608379,1
0.584449933,1.690858441,1
1.454745962,0.506805793,1
0.93499207,1.331821871,1
1.268780596,0.1244344,1
0.221895701,0.964960174,1
0.694179939,0.280511818,1
1.187094889,0.14502753,1
0.255842559,0.28104591,0
0.749837327,1.568012846,1
1.943579717,1.294727919,1
1.44578016,1.396648928,1
0.86034797,0.969295095,1
1.82304768,1.111553031,1
1.595185167,1.169798955,1
1.030886092,0.292681544,1
0.964096744,1.518512851,1
1.177232841,0.34000586,1
1.74062545,1.4276952,1
1.231358199,0.427273302,1
1.990729762,0.774606725,0
1.636036953,0.617924499,1
1.439673243,0.829703319,1
1.076263212,1.296381126,1
0.294158231,1.77506523,0
0.264981125,0.773675604,1
1.165736248,1.054691958,1
0.33405213,1.327424706,1
